epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,418.826,0.48102,0.41401,0.94564,0.84079,0.97058,0.995,0.80264,0.95339,0.51548,1.13598,0.000187092,0.000187092,0.000187092
86,423.568,0.5124,0.40537,0.93906,0.86099,0.95483,0.995,0.78895,0.94915,0.49685,1.14404,0.000176094,0.000176094,0.000176094
87,428.121,0.52262,0.45731,0.94833,0.91357,0.92855,0.995,0.77453,0.94604,0.4932,1.14798,0.000165095,0.000165095,0.000165095
88,432.816,0.5493,0.48351,0.98185,0.93836,0.92779,0.995,0.79231,0.93278,0.47343,1.13615,0.000154096,0.000154096,0.000154096
89,437.952,0.5009,0.4302,0.94234,0.94932,0.92494,0.995,0.77375,0.92002,0.45296,1.12033,0.000143097,0.000143097,0.000143097
90,443.37,0.44476,0.44573,0.90035,0.95372,0.92462,0.995,0.78654,0.91794,0.44492,1.1115,0.000132098,0.000132098,0.000132098
91,463.026,0.41199,0.34633,0.92977,0.95859,0.92617,0.995,0.78461,0.93096,0.43129,1.11381,0.000121099,0.000121099,0.000121099
92,467.88,0.42093,0.39107,0.91792,0.96033,0.92814,0.995,0.77952,0.9403,0.42541,1.11646,0.0001101,0.0001101,0.0001101
93,472.54,0.39141,0.32415,0.87939,0.96484,0.92838,0.995,0.77935,0.95601,0.41918,1.12677,9.91012e-05,9.91012e-05,9.91012e-05
94,477.095,0.40198,0.32742,0.87587,0.9585,0.93799,0.995,0.77939,0.97083,0.41748,1.14017,8.81023e-05,8.81023e-05,8.81023e-05
95,481.779,0.39284,0.31601,0.88502,0.93242,0.96925,0.995,0.77151,0.97449,0.41376,1.14882,7.71034e-05,7.71034e-05,7.71034e-05
96,486.382,0.42581,0.35011,0.90338,0.92794,0.98628,0.995,0.78278,0.96764,0.41153,1.14948,6.61045e-05,6.61045e-05,6.61045e-05
97,491.082,0.35431,0.30665,0.86194,0.93506,0.9903,0.995,0.78424,0.95561,0.40707,1.14868,5.51056e-05,5.51056e-05,5.51056e-05
98,496.02,0.37386,0.30732,0.90185,0.94181,0.99391,0.995,0.7802,0.9417,0.40645,1.14718,4.41067e-05,4.41067e-05,4.41067e-05
99,501.117,0.32735,0.27475,0.83414,0.951,1,0.995,0.78018,0.93293,0.40186,1.1484,3.31078e-05,3.31078e-05,3.31078e-05
100,506.433,0.32185,0.28035,0.84512,0.95757,1,0.995,0.78016,0.92898,0.39903,1.15164,2.21089e-05,2.21089e-05,2.21089e-05
